user,visited_events,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
User 1,1,1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%),1/1 (100.0%)
User 2,2,1/2 (50.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%),2/2 (100.0%)
User 3,3,1/3 (33.3%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%),3/3 (100.0%)
User 4,4,1/4 (25.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%),4/4 (100.0%)
User 5,5,2/5 (40.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%),4/5 (80.0%)
User 6,6,1/6 (16.7%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%),3/6 (50.0%)
User 7,7,0/7 (0.0%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),1/7 (14.3%),5/7 (71.4%)
User 8,8,0/8 (0.0%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),3/8 (37.5%),4/8 (50.0%)
User 9,9,2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%),2/9 (22.2%)
User 10,10,0/10 (0.0%),3/10 (30.0%),3/10 (30.0%),3/10 (30.0%),3/10 (30.0%),9/10 (90.0%),6/10 (60.0%),6/10 (60.0%),6/10 (60.0%),6/10 (60.0%)
User 11,11,2/11 (18.2%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%),4/11 (36.4%)
User 12,12,3/12 (25.0%),3/12 (25.0%),3/12 (25.0%),3/12 (25.0%),3/12 (25.0%),5/12 (41.7%),4/12 (33.3%),4/12 (33.3%),4/12 (33.3%),4/12 (33.3%)
User 13,13,3/13 (23.1%),6/13 (46.2%),6/13 (46.2%),6/13 (46.2%),6/13 (46.2%),6/13 (46.2%),5/13 (38.5%),5/13 (38.5%),5/13 (38.5%),3/13 (23.1%)
